,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,rating
6426,The King of Fighters 02/03,XB,2005.0,Fighting,SNK Playmore,0.02,0.01,0.0,0.0,0.03,76
6427,Warhammer: Mark of Chaos,PC,2006.0,Strategy,Deep Silver,0.0,0.02,0.0,0.0,0.03,73
6428,Animaniacs: The Great Edgar Hunt,GC,2005.0,Platform,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,65
6429,Cossacks: European Wars,PC,2001.0,Strategy,Strategy First,0.0,0.02,0.0,0.0,0.03,74
6430,MechAssault: Phantom War,DS,2006.0,Simulation,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,66
6431,Magicka,PC,2011.0,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.01,0.03,74
6432,The Last Guy,PS3,2009.0,Action,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,77
6433,X3: Terran Conflict,PC,2008.0,Simulation,Deep Silver,0.0,0.02,0.0,0.01,0.03,73
6434,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,78
6435,D1 Professional Drift Grand Prix Series,PS2,2005.0,Racing,Yuke's,0.01,0.01,0.0,0.0,0.03,45
6436,Pro Cast Sports Fishing,XB,2003.0,Sports,Capcom,0.02,0.01,0.0,0.0,0.03,49
6437,Max Payne 2: The Fall of Max Payne,PC,2003.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,86
6438,NBA 2K7,XB,2006.0,Sports,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,83
6439,Auto Modellista,GC,2003.0,Racing,Capcom,0.02,0.01,0.0,0.0,0.03,62
6440,MySims,PC,2008.0,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.03,70
6441,Dave Mirra Freestyle BMX 3,GBA,2002.0,Sports,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,78
6442,Frogger: Ancient Shadow,XB,2005.0,Platform,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,48
6443,Pro Evolution Soccer 2017,XOne,2016.0,Sports,Konami Digital Entertainment,0.0,0.02,0.0,0.0,0.03,87
6444,Warship Gunner 2,PS2,2006.0,Simulation,Tecmo Koei,0.01,0.01,0.0,0.0,0.03,62
6445,Gotcha Force,GC,2003.0,Shooter,Capcom,0.01,0.0,0.01,0.0,0.03,56
6446,Star Wars The Clone Wars: Republic Heroes,PC,2009.0,Action,LucasArts,0.0,0.02,0.0,0.0,0.03,47
6447,DiRT Rally,PC,2016.0,Racing,Codemasters,0.0,0.03,0.0,0.0,0.03,86
6448,The Golf Club,XOne,2014.0,Sports,Unknown,0.02,0.0,0.0,0.0,0.03,64
6449,The Sims 2: Bon Voyage,PC,2007.0,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.03,74
6450,Buffy the Vampire Slayer: Chaos Bleeds,GC,2003.0,Action,Vivendi Games,0.02,0.01,0.0,0.0,0.03,75
6451,My Frogger: Toy Trials,DS,2006.0,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.03,66
6452,Jet Grind Radio,GBA,2003.0,Action,Sega,0.02,0.01,0.0,0.0,0.03,74
6453,Baldur's Gate: Dark Alliance,GBA,2004.0,Role-Playing,"Destination Software, Inc",0.02,0.01,0.0,0.0,0.03,76
6454,GRID Autosport,PC,2014.0,Racing,Codemasters,0.0,0.02,0.0,0.0,0.03,78
